"Rank","NCT Number","Title","Recruitment","Study Results","Conditions","Interventions","Sponsor/Collaborators","Gender","Age Groups","Phases","Enrollment","Funded Bys","Study Types","Study Designs","Other IDs","First Received","Start Date","Completion Date","Last Updated","Last Verified","Results First Received","Acronym","Primary Completion Date","Outcome Measures","URL"
72,"NCT01366638","A Study of TMC435 in Participants With Genotype 1 Hepatitis C Virus (HCV) Infection","Completed","Has Results","Hepatitis C, Chronic","Drug: TMC435|Drug: Peginterferon alfa-2b (pegIFN alfa-2b)|Drug: Ribavirin (RBV)","Janssen Pharmaceutical K.K.","Both","Adult|Senior","Phase 3","79","Industry","Interventional","Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","CR017935|TMC435HPC3010","June 2, 2011","May 2011","November 2012","April 10, 2014","April 2014","October 17, 2013","null","November 2012","The Percentage of Participants With a Sustained Virologic Response 12 Weeks After the Actual End of Treatment (SVR12)|The Percentage of Participants With a Sustained Virologic Response 24 Weeks After the Actual End of Treatment (SVR24)|The Percentage of Participants With Undetectable Plasma Hepatitis C Virus (HCV) Ribonucleic Acid (RNA) During Treatment and at the End of Treatment|The Number of Participants With Viral Breakthrough|The Number of Participants Demonstrating Viral Relapse|The Number of Participants With Abnormal Alanine Aminotransferase (ALT) Levels at Baseline Who Achieved Normal Limit of ALT at the End of Treatment (EOT)|The Percentage of Participants Who Achieved a Greater Than or Equal to 2 log10 IU/mL Drop From Baseline in Plasma Hepatitis C Virus Ribonucleic Acid (HCV RNA) at Each Time Point During Treatment and Follow-up|The Percentage of Participants Who Met Response Guided Treatment (RGT) Criteria and Completed Treatment With Peginterferon Alpha-2b (PegIFNα-2b) and Ribavirin (RBV) at Week 24|The Area Under the Plasma Concentration-Time Curve (From 0 to 24 Hours) (AUC24h)|Plasma Concentrations of TMC435","https://ClinicalTrials.gov/show/NCT01366638"
73,"NCT00230503","Dose-Ranging Study of Pradefovir in Patients With Compensated Hepatitis B","Completed","No Results Available","Hepatitis B, Chronic","Drug: pradefovir mesylate|Drug: adefovir dipivoxyl","Valeant Pharmaceuticals International, Inc.","Both","Adult","Phase 2","220","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","RNA200103-201","September 28, 2005","June 2004","December 2006","June 21, 2012","June 2012","No Study Results Posted","null","December 2006","- Safety: Clinical examinations of laboratory tests|- Efficacy: Change in viral load over time|- Efficacy: Proportion of patients with undetectable viral load","https://ClinicalTrials.gov/show/NCT00230503"
74,"NCT01292239","A Phase III Study of TMC435 in Treatment-naive, Genotype 1, Hepatitis C-infected Patients","Completed","Has Results","Hepatitis C, Chronic","Drug: Placebo|Drug: TMC435|Drug: Peginterferon alfa-2a (pegIFN alfa-2a)|Drug: Ribavirin (RBV)","Janssen Pharmaceutical K.K.","Both","Adult|Senior","Phase 3","183","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Investigator)","CR017686|TMC435HPC3003","February 1, 2011","February 2011","October 2012","December 16, 2013","December 2013","October 15, 2013","null","October 2012","The Percentage of Participants With a Sustained Virologic Response at the End of Treatment (EOT) and 12 Weeks After the Last Dose of Treatment (SVR12)|The Percentage of Participants With a Sustained Virologic Response at the End of Treatment (EOT) and 24 Weeks After the Last Dose of Treatment (SVR24)|The Percentage of Participants Who Achieved a Greater Than or Equal to 2 log10 IU/mL Drop From Baseline in Plasma Hepatitis C Virus Ribonucleic Acid (HCV RNA) at Each Time Point During Treatment and Follow-up|The Percentage of Participants With Undetectable Plasma Levels of Hepatitis C Virus Ribonucleic Acid (HCV RNA) During Treatment and at the End of Treatment (EOT)|The Number of Participants With Viral Breakthrough|The Number of Participants Demonstrating Viral Relapse|The Number of Participants With Abnormal Alanine Aminotransferase (ALT) Levels at Baseline Who Achieved Normal ALT Levels at the End of Treatment (EOT)|The Percentage of Participants in the TMC435 Treatment Group Who Met Response Guided Treatment (RGT) Criteria and Completed Treatment With Peginterferon Alpha-2a (PegIFN Alpha-2a) and Ribavirin (RBV) at Week 24|Plasma Concentrations of TMC435|Area Under the Plasma Concentration-time Curve From 0 to 24 Hours (AUC24h) for TMC435","https://ClinicalTrials.gov/show/NCT01292239"
75,"NCT00948220","Influence of Antiviral Therapy on Bone Mineral Density and Metabolism in Patients With Chronic Hepatitis C","Completed","No Results Available","Hepatitis C, Chronic|Liver Diseases|Virus Diseases","Drug: peginterferon alfa-2a and ribavirin","University of Ulm|Hoffmann-La Roche","Male","Adult","Phase 4","26","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Basic Science|Masking: Open Label","OSTEO","July 24, 2009","July 2003","March 2008","June 6, 2011","May 2011","No Study Results Posted","null","January 2007","Change of the bone mineral density of the lumbar spine and right hip measured by DEXA in patients with chronic hepatitis C with or without antiviral combination treatment with peginterferon and ribavirin|Change in markers of bone formation and resorption over time during antiviral therapy and after cessation of therapy.","https://ClinicalTrials.gov/show/NCT00948220"
76,"NCT01288209","A Phase III Study of TMC435 in Genotype 1, Hepatitis C-infected Participants Who Failed to Respond to Previous IFN-based Therapy","Completed","Has Results","Hepatitis C, Chronic","Drug: TMC435|Drug: Peginterferon alfa-2a (PegIFNα-2a )|Drug: Ribavirin (RBV)","Janssen Pharmaceutical K.K.","Both","Adult|Senior","Phase 3","106","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","CR017689|TMC435HPC3004","February 1, 2011","February 2011","September 2012","December 18, 2013","December 2013","October 15, 2013","null","September 2012","The Percentage of Participants With a Sustained Virologic Response at the End of Treatment (EOT) and 12 Weeks After the Last Dose of Treatment (SVR12)|The Percentage of Participants With a Sustained Virologic Response 24 Weeks After the End of Treatment (EOT) and 24 Weeks After the Last Dose of Treatment (SVR24)|The Percentage of Participants Who Achieved a Greater Than or Equal to 2 log10 IU/mL Drop From Baseline in Plasma Hepatitis C Virus Ribonucleic Acid (HCV RNA) at Each Time Point During Treatment and Follow-up|The Percentage of Participants With Undetectable Plasma Hepatitis C Virus Ribonucleic Acid (HCV RNA) During Treatment and at the End of Treatment (EOT)|The Percentage of Participants With Undetectable Plasma Hepatitis C Virus (HCV) Ribonucleic Acid (RNA) Levels During Treatment for Participants Who Did Not Achieve Undetectable Plasma HCV RNA Levels at Week 12|The Number of Participants With Viral Breakthrough During the Study|The Number of Participants Demonstrating Viral Relapse During the Study|The Number Participants With Abnormal Alanine Aminotransferase (ALT) Levels at Baseline Who Achieved Normal ALT Levels at the End of Treatment (EOT)|The Percentage of Participants Who Met Response Guided Treatment (RGT) Criteria and Completed Treatment With Peginterferon Alpha-2a (PegIFNα-2a) and Ribavirin (RBV) at Week 24|Plasma Concentrations of TMC435|Area Under the Plasma Concentration-time Curve From 0 to 24 Hours (AUC24h) for TMC435","https://ClinicalTrials.gov/show/NCT01288209"
77,"NCT00841477","An Hepatitis B Vaccine Model for HIV Vaccine Trials in Drug Users","Completed","No Results Available","Hepatitis B Infection|Hepatitis C Infection|HIV Infection","Biological: hepatitis B vaccine 3 dose schedule (0,1,2 month)|Behavioral: HBV Vaccination Self-Efficacy Intervention","National Institute on Drug Abuse (NIDA)","Both","Adult|Senior","Phase 3","1260","NIH","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Factorial Assignment|Primary Purpose: Prevention|Masking: Single Blind (Outcomes Assessor)","DESPR DA017505","February 10, 2009","January 2004","December 2009","April 13, 2015","April 2015","No Study Results Posted","null","June 2007","compliance (adherence) for 3 doses hepatitis vaccination|incidence of HIV and HCV infection and change of risk behaviors|immunological response","https://ClinicalTrials.gov/show/NCT00841477"
78,"NCT01745822","Maternal Antiviral Prophylaxis to Prevent Perinatal Transmission of Hepatitis B Virus in Thailand","Active, not recruiting","No Results Available","Hepatitis B Chronic Infection|Pregnancy","Drug: tenofovir disoproxil fumarate|Drug: placebo","Institut de Recherche pour le Developpement|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|Centers for Disease Control and Prevention|Gilead Sciences","Female","Adult|Senior","Phase 3","328","Other|NIH|U.S. Fed|Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)","U01HD071889","December 6, 2012","January 2013","October 2017","October 19, 2015","October 2015","No Study Results Posted","iTAP","December 2016","Infant's Hepatitis B infection status at 6 months of age|Adverse events|Flares after study treatment interruption|Infant's HBV infection status|Infant growth related outcomes, including weight, height and HC Z-scores","https://ClinicalTrials.gov/show/NCT01745822"
79,"NCT00473993","Hepatitis C Among Opioid Addicts in Opioid Maintenance Treatment in Zurich, Switzerland","Completed","No Results Available","Hepatitis C, Chronic|Substance Abuse Treatment Centers|Opioid-Related Disorders","","Seidenberg, Arztpraxis A., M.D.|University of Zurich","Both","Child|Adult|Senior","","null","Other","Observational","Time Perspective: Retrospective","HepCOP Zurich","May 15, 2007","July 2007","December 2007","February 13, 2009","May 2007","No Study Results Posted","HepCOP","null","","https://ClinicalTrials.gov/show/NCT00473993"
80,"NCT01448915","Management of Hepatitis C in HIV Infected Injection Drug Users (IDUs)","Recruiting","No Results Available","HIV Infection|Hepatitis C","Behavioral: Contigent voucher incentive (CVI)","Johns Hopkins University|National Institute on Drug Abuse (NIDA)","Both","Adult|Senior","Phase 4","800","Other|NIH","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","NA00029706|R01DA016065","September 27, 2011","September 2009","July 2013","October 6, 2011","October 2011","No Study Results Posted","null","July 2013","Hepatitis C Treatment Eligibility|Liver Disease Staging|Hepatitis C Treatment Incentives|Liver stiffness|Body mass index|Serum markers","https://ClinicalTrials.gov/show/NCT01448915"
81,"NCT00838071","Evaluation of Serum Levels and Pharmacokinetics of a New Hepatitis B Immune Globulin Following Liver Transplantation","Completed","No Results Available","Hepatitis B, Chronic","Drug: Specific intravenous anti-hepatitis B immunoglobulin","Instituto Grifols, S.A.|Grifols Biologicals Inc.","Both","Adult|Senior","Phase 3","20","Industry","Interventional","Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Prevention|Masking: Open Label","IG301","February 5, 2009","October 2003","August 2004","February 5, 2009","February 2009","No Study Results Posted","null","July 2004","To determine if after 4 months of continuous monthly administration of HB-IVIG Grifols, the anti-hepatitis B antibodies contained in the product reach levels considered as protective, and to assess if these levels are kept constant during 2 more months.|To determine the in vivo recovery of 6 consecutive doses of HB-IVIG Grifols and demonstrate that it remains constant for each dose.|To determine various pharmacokinetic parameters after 6 administrations of HB-IVIG Grifols|To determine the incidence of recurrences during the treatment|To evaluate tolerance to the administration of HB-IVIG Grifols|To confirm the viral safety of the product supervising viral markers","https://ClinicalTrials.gov/show/NCT00838071"
82,"NCT00055445","IdB 1016 Treatment for Hepatitis C Disease","Completed","No Results Available","Hepatitis C, Chronic","Drug: IdB 1016","National Center for Complementary and Integrative Health (NCCIH)","Both","Adult","Phase 1|Phase 2","45","NIH","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","R21 AT000992-01A1|IdB-1016-UW-001","March 3, 2003","November 2003","April 2006","August 17, 2006","July 2006","No Study Results Posted","null","null","","https://ClinicalTrials.gov/show/NCT00055445"
83,"NCT00659256","Hepatitis C Treatment and Atherosclerosis","Completed","No Results Available","Chronic Hepatitis C|Atherosclerosis","","National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)|National Institutes of Health Clinical Center (CC)","Both","Adult|Senior","","70","NIH","Observational","","080106|08-DK-0106","April 15, 2008","April 2008","March 2015","March 25, 2015","March 2015","No Study Results Posted","null","null","Intima-media thickness|Coronary calcium score, Framingham score","https://ClinicalTrials.gov/show/NCT00659256"
84,"NCT00110799","SB497115 (Oral Thrombopoietin Receptor Agonist) Versus Placebo In Adults With Thrombocytopenia Due To Hepatitis C","Completed","No Results Available","Hepatitis C, Chronic|Hepatitis C|Thrombocytopenia","Drug: SB497115|Other: Placebo","GlaxoSmithKline","Both","Adult|Senior","Phase 2","75","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)","TPL102357","May 13, 2005","April 2005","November 2006","May 31, 2012","March 2011","No Study Results Posted","null","October 2006","Treatment response, assessed by the proportion of subjects with a shift from baseline platelet count (20, 000 to <70,000µL) to =100,000/µL after 4 weeks of study treatment.|Mean increase in platelet counts and markers of thrombopoiesis. Safety and tolerability, population PK, pharmacodynamics. Effect of antiviral outcome measures during and after therapy.","https://ClinicalTrials.gov/show/NCT00110799"
85,"NCT00039962","Thymosin Plus PEG-Interferon in Hepatitis C Patients With Cirrhosis Who Did Not Respond to Interferon or Interferon Plus Ribavirin","Completed","No Results Available","Hepatitis C|Hepatitis C, Chronic","Drug: thymalfasin (thymosin alpha 1)|Drug: PEGinterferon alfa-2a","SciClone Pharmaceuticals","Both","Adult|Senior","Phase 3","500","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double-Blind","Ta1-CHC-2K0804","June 17, 2002","May 2002","null","January 8, 2008","January 2008","No Study Results Posted","null","null","","https://ClinicalTrials.gov/show/NCT00039962"
